;; This buffer is for text that is not saved, and for Lisp evaluation.
;; To create a file, visit it with C-x C-f and enter text in its buffer.

process[parser_server-1, started with pid3016]
process[blank_image-2, started with pid3017]
process[left_monitor-3, started with pid3023]
process[right_monitor-4, started with pid3037]
process[face_tracking-5, started with pid3044]
1545791438.575514033, Using transport "raw"
1545791438.588889162, Using transport "raw"
1545791471.477563329, Reeti standby
1545791473.287627779, Reeti standby
1545791474.308506115, Reeti takes a break
1545791476.598814788, Reeti standby
1545791492.446340400, Reeti takes a break
1545791657.250420914, 1, v
1545791659.146559156, 1, u
1545791660.682653419, 0, u
1545791662.403047906, 1, u
1545791664.033229324, reeti turn to, 0
1545791664.033272330, 1, v
1545791665.925008994, reeti turn to, 0
1545791665.925037177, 1, v
1545791667.026313091, user press, v
1545791669.710245217, Reeti standby
1545791670.464661743, exp1 d mode
1545791670.467710059, face tracking, on
1545791672.471719014, reeti turn to, 0
1545791672.471747543, 0, v
1545791674.450710858, user press, v
1545791676.420631369, Reeti standby
1545791677.754679539, exp1 d mode
1545791677.762536004, face tracking, on
1545791679.766556619, reeti turn to, 0
1545791679.766627454, 0, v
1545791681.681634800, user press, v
1545791683.020961807, Reeti standby
1545791684.410602189, exp1 d mode
1545791684.413586665, face tracking, on
1545791686.416895640, reeti turn to, 0
1545791686.417026979, 0, v
1545791688.578035220, user press, v
1545791690.154391142, exp1 d mode
1545791690.162125722, face tracking, on
1545791692.166636895, reeti turn to, 0
1545791692.166784473, 0, u
1545791694.394009328, user press, u
1545791695.618181088, user press, v
1545791697.313911044, exp1 d mode
1545791697.316250585, face tracking, on
1545791699.319328017, reeti turn to, 1
1545791699.319366737, 0, v
1545791701.090369852, user press, v
1545791704.178053793, exp1 f mode
1545791704.178102998, face tracking, off
1545791706.180734844, reeti turn to, 1
1545791706.180773996, 1, u
1545791708.346011853, user press, u
1545791709.834344151, exp1 f mode
1545791709.834400182, face tracking, off
1545791711.840482333, reeti turn to, 1
1545791711.840559276, 0, u
1545791713.505960262, user press, u
1545791797.196818461, exp1 d mode
1545791797.199724822, face tracking, on
1545791799.202819003, reeti turn to, 1
1545791799.202850808, 0, u
1545791801.748711865, user press, u
1545791803.340972045, exp1 d mode
1545791803.344465769, face tracking, on
1545791805.351579442, reeti turn to, 0
1545791805.351618548, 1, v
1545791808.263263184, user press, v
1545792150.614432150, 0, u
1545792153.871051751, 0, u
1545792156.211395612, 0, v
