
1546012354.414894763, Reeti takes a break
1546012376.791120319, Reeti standby
1546012379.470826251, exp1 d mode
1546012379.473366786, face tracking, on
1546012381.477629679, reeti turn to, 1
1546012381.477697309, 1, u
1546012384.125115665, user press, u
1546012385.802723306, exp1 d mode
1546012385.805837647, face tracking, on
1546012387.808921540, reeti turn to, 1
1546012387.808976242, 1, v
1546012390.694279388, user press, v
1546012396.285701562, exp1 d mode
1546012396.288275341, face tracking, on
1546012398.290928747, reeti turn to, 0
1546012398.290956354, 0, v
1546012408.477453604, user press, v
1546012410.578009185, exp1 d mode
1546012410.584893420, face tracking, on
1546012412.588099350, reeti turn to, 0
1546012412.588149455, 1, u
1546012414.839807744, user press, u
1546012424.013234938, exp1 d mode
1546012424.021026079, face tracking, on
1546012426.023931292, reeti turn to, 1
1546012426.023956468, 0, v
1546012433.146993984, user press, v
1546012436.141097278, exp1 d mode
1546012436.144123166, face tracking, on
1546012438.151087267, reeti turn to, 0
1546012438.151172433, 0, u
1546012440.580203177, user press, u
1546012454.136565400, Reeti takes a break
1546012455.769850526, Reeti standby
1546012461.648020468, exp1 d mode
1546012461.651325911, face tracking, on
1546012463.654960527, reeti turn to, 0
1546012463.654999068, 1, v
1546012466.615772950, user press, v
1546012469.762122915, exp1 d mode
1546012469.764850077, face tracking, on
1546012471.771575736, reeti turn to, 0
1546012471.771667242, 1, u
1546012474.752505354, user press, v
1546012476.928948547, exp1 d mode
1546012476.932314419, face tracking, on
1546012478.935325425, reeti turn to, 0
1546012478.935384390, 0, v
1546012482.651191642, user press, v
1546012488.131337229, Reeti takes a break
1546012492.116760963, Reeti takes a break
1546012493.078013446, Reeti takes a break
1546012498.628453818, Reeti standby
1546012500.331044283, user press, v
1546012502.688971167, Reeti standby
1546012504.418432034, exp1 d mode
1546012504.421325490, face tracking, on
1546012506.424160863, reeti turn to, 1
1546012506.424196930, 0, u
1546012508.653686039, user press, u
1546012510.586321135, exp1 d mode
1546012510.589272193, face tracking, on
1546012512.592961749, reeti turn to, 0
1546012512.593003949, 0, u
1546012514.793233574, user press, u
1546012516.611500720, exp1 d mode
1546012516.614619858, face tracking, on
1546012518.618269355, reeti turn to, 0
1546012518.618338514, 1, v
1546012520.754726647, user press, v
1546012525.545456232, Reeti standby
1546012526.299003771, exp1 d mode
1546012526.301256054, face tracking, on
1546012528.308530976, reeti turn to, 0
1546012528.308555837, 0, u
1546012530.560952617, user press, u
1546012532.973910999, Reeti standby
1546012533.478817082, exp1 d mode
1546012533.485087387, face tracking, on
1546012535.489084404, reeti turn to, 0
1546012535.489129715, 0, v
1546012538.075275981, user press, v
1546012540.197465307, Reeti standby
1546012540.525822177, exp1 d mode
1546012540.532294798, face tracking, on
1546012542.535539084, reeti turn to, 0
1546012542.535596303, 1, u
1546012544.900013461, user press, u
1546012546.589641672, Reeti standby
1546012546.835616167, exp1 d mode
1546012546.842723102, face tracking, on
1546012548.846359787, reeti turn to, 1
1546012548.846408377, 1, u
1546012550.923522829, user press, u
1546012552.684463326, Reeti standby
1546012553.520412322, exp1 d mode
1546012553.528918883, face tracking, on
1546012555.532054908, reeti turn to, 0
1546012555.532088450, 1, v
1546012557.900121405, user press, v
1546012560.090356892, Reeti standby
1546012560.560379802, exp1 d mode
1546012560.563091253, face tracking, on
1546012562.566574002, reeti turn to, 0
1546012562.566628039, 0, u
1546012564.724516166, user press, u
1546012566.759617363, Reeti standby
1546012567.182275624, exp1 d mode
1546012567.184926381, face tracking, on
1546012569.188181348, reeti turn to, 1
1546012569.188227939, 1, u
1546012571.107427033, user press, u
1546012572.992636405, Reeti takes a break
1546012879.456643045, Reeti standby
1546012881.722172992, exp1 d mode
1546012881.725851019, face tracking, on
1546012883.729328021, reeti turn to, 0
1546012883.729379062, 1, v
1546012885.859630061, user press, v
1546012887.372233732, Reeti standby
1546012887.911046782, exp1 d mode
1546012887.921582291, face tracking, on
1546012889.925502338, reeti turn to, 0
1546012889.925556875, 0, u
1546012891.956482552, user press, u
1546012893.432356300, Reeti standby
1546012893.788837964, exp1 d mode
1546012893.791709951, face tracking, on
1546012895.794777456, reeti turn to, 0
1546012895.794844576, 1, v
1546012897.963918519, user press, v
1546012899.521887476, Reeti standby
1546012899.863268220, exp1 d mode
1546012899.867179283, face tracking, on
1546012901.870639490, reeti turn to, 1
1546012901.870682499, 1, v
1546012903.749359010, user press, v
1546012905.657123079, Reeti standby
1546012906.031139130, exp1 d mode
1546012906.034997809, face tracking, on
1546012908.038238068, reeti turn to, 0
1546012908.038287609, 1, u
1546012910.308773501, user press, u
1546012912.155601928, Reeti standby
1546012912.661745765, exp1 d mode
1546012912.664920389, face tracking, on
1546012914.668417086, reeti turn to, 0
1546012914.668512129, 0, v
1546012917.014205731, user press, v
1546012918.551692843, Reeti standby
1546012918.900705751, exp1 d mode
1546012918.903520154, face tracking, on
1546012920.906686430, reeti turn to, 0
1546012920.906729094, 0, v
1546012922.821427363, user press, v
1546012924.521674255, Reeti standby
1546012924.908365630, exp1 d mode
1546012924.918883857, face tracking, on
1546012926.922918927, reeti turn to, 0
1546012926.922959005, 1, u
1546012928.977141528, user press, u
1546012930.834647988, Reeti standby
1546012931.319333713, exp1 d mode
1546012931.322958341, face tracking, on
1546012933.326351821, reeti turn to, 0
1546012933.326389426, 1, v
1546012935.496065784, user press, v
1546012936.983636466, Reeti standby
1546012937.368013449, exp1 d mode
1546012937.371335063, face tracking, on
1546012939.379317984, reeti turn to, 1
1546012939.379393527, 0, u
1546012941.508726272, user press, u
1546012943.198718063, Reeti standby
1546012943.573868504, exp1 d mode
1546012943.583996893, face tracking, on
1546012945.587444461, reeti turn to, 0
1546012945.587488013, 0, v
1546012947.731993645, user press, v
1546012949.305071929, Reeti standby
1546012949.684264624, exp1 d mode
1546012949.686884707, face tracking, on
1546012951.690116345, reeti turn to, 1
