1545340319.462889395, 1, v
1545340323.848588497, 1, v
1545340329.541670585, 0, u
1545340332.021197973, 1, u
1545340334.193223509, 0, v
1545340410.116493131, 1, v
1545340413.685863903, 0, v
1545340417.431939773, 0, v
1545340420.505655993, 0, v
1545340422.533127869, 1, u
1545340424.647274964, 1, u
1545340426.827178741, 1, v
1545340429.728584376, 0, v
1545340432.664374319, 1, v
1545340530.754938851, face tracking, on
1545340532.757612012, reeti turn to, 1
1545340532.757657421, 0, v
1545340536.329575598, user press, v
1545340538.002527583, face tracking, on
1545340540.005256878, reeti turn to, 0
1545340540.005293730, 1, v
1545340543.490786674, user press, v
1545340545.321327827, face tracking, on
1545340547.324025928, reeti turn to, 0
1545340547.324056354, 0, v
1545340550.162778192, user press, v
1545340551.532684416, face tracking, on
1545340553.535441580, reeti turn to, 0
1545340553.535487010, 1, u
1545340556.685985795, user press, u
1545340558.091204874, face tracking, on
1545340560.093767042, reeti turn to, 1
1545340560.093794389, 1, v
1545340562.828619915, user press, v
1545340564.688453583, face tracking, on
1545340566.690946379, reeti turn to, 0
1545340566.690973793, 1, v
1545340569.828711425, user press, v
1545340571.861919048, face tracking, on
1545340573.865007443, reeti turn to, 0
1545340573.865058496, 1, u
1545340576.697897389, user press, u
1545340578.140598886, face tracking, on
1545340580.142964272, reeti turn to, 0
1545340580.142989046, 0, v
1545340582.985212960, user press, v
1545340584.473087088, face tracking, on
1545340586.475881755, reeti turn to, 0
1545340586.475922410, 0, u
1545340589.756031960, user press, u
1545340591.111577133, face tracking, on
1545340593.114152687, reeti turn to, 1
1545340593.114187578, 1, u
1545340595.965980119, user press, u
1545340597.214025015, face tracking, on
1545340599.216670326, reeti turn to, 1
1545340599.216702305, 0, u
1545340602.563659371, user press, u
1545340603.752874967, face tracking, on
1545340605.755823365, reeti turn to, 0
1545340605.755886465, 0, v
1545340608.502754172, user press, v
1545340660.002441658, face tracking, on
1545340662.005280955, reeti turn to, 0
1545340662.005313143, 1, u
1545340664.639458216, user press, u
1545340666.127256912, face tracking, on
1545340668.130308306, reeti turn to, 1
1545340668.130343488, 1, u
1545340670.719055720, user press, u
1545340672.520636107, face tracking, on
1545340674.523277703, reeti turn to, 1
1545340674.523337875, 0, v
1545340677.823395601, user press, v
1545340679.120631315, face tracking, on
1545340681.123616973, reeti turn to, 1
1545340681.123673359, 0, u
1545340683.945315450, user press, u
1545340685.656618302, face tracking, on
1545340687.659827224, reeti turn to, 0
1545340687.659861381, 0, u
1545340690.237072414, user press, u
1545340691.691403422, face tracking, on
1545340693.694467713, reeti turn to, 1
1545340693.694515493, 0, u
1545340696.306932957, user press, u
1545340698.158381365, face tracking, on
1545340700.160977847, reeti turn to, 1
1545340700.161012213, 0, u
1545340702.981258423, user press, u
1545340704.448803280, face tracking, on
1545340706.451206845, reeti turn to, 0
1545340706.451238800, 0, v
1545340709.831956336, user press, u
