1546971246.803554105, face tracking, on
1546971248.806216357, reeti turn to, 1
1546971248.806243416, 0, u
1546971251.757101331, user press, v
1546971256.486475465, face tracking, on
1546971258.489137305, reeti turn to, 1
1546971258.489172990, 1, v
1546971260.682250607, user press, v
1546971263.052374043, face tracking, on
1546971265.055237647, reeti turn to, 1
1546971265.055279448, 0, v
1546971267.333973842, user press, v
1546971459.930599723, face tracking, on
1546971461.933370011, reeti turn to, 1
1546971461.933422322, 0, v
1546971465.393012557, user press, v
1546971467.689497676, face tracking, on
1546971469.692203572, reeti turn to, 1
1546971469.692236338, 0, v
1546971997.285850820, face tracking, on
1546971999.290220278, reeti turn to, 0
1546971999.290253371, 1, u
1546972003.146459159, face tracking, on
1546972005.148845337, reeti turn to, 1
1546972005.148946692, 0, v
1546972006.900287348, user press, v
1546972008.369815081, face tracking, on
1546972010.372558859, reeti turn to, 0
1546972010.372591381, 1, u
1546972012.266316894, user press, v
1546972087.062482121, face tracking, on
1546972089.065446587, reeti turn to, 0
1546972089.065488908, 1, v
1546972090.746824988, user press, v
1546972092.133695828, face tracking, on
1546972094.136210500, reeti turn to, 1
1546972094.136240403, 0, u
1546972096.246643856, user press, v
1546972097.544411237, face tracking, on
1546972099.547283599, reeti turn to, 0
1546972099.547353213, 1, v
1546972101.531281927, user press, v
1546972261.923424174, face tracking, on
1546972263.926251320, reeti turn to, 1
1546972263.926280342, 0, v
1546972370.949479926, face tracking, on
1546972372.952043611, reeti turn to, 1
1546972372.952072512, 1, u
1546972716.172442022, face tracking, on
1546972718.174910336, reeti turn to, 1
1546972718.174940755, 0, u
1546972723.137313333, face tracking, off
1546972725.139659159, reeti turn to, 0
1546972725.139688557, 1, v
1546972728.982402558, user press, v
1546972730.815680104, face tracking, on
1546972732.818278508, reeti turn to, 0
1546972732.818332862, 0, v
1546972735.162380042, user press, v
1546972736.801111212, face tracking, off
1546972738.803976611, reeti turn to, 1
1546972738.804007383, 1, v
1546972740.383976352, user press, v
1546972742.335204605, face tracking, on
1546972744.338616488, reeti turn to, 0
1546972744.338662697, 1, v
1546972745.983143650, user press, v
1546973265.607304027, face tracking, on
1546973267.610572464, reeti turn to, 1
1546973267.610623721, 1, v
1546973282.142455732, user press, v
1546973514.031881716, face tracking, on
1546973516.034573875, reeti turn to, 1
1546973516.034597964, 1, v
